dimension,group,n_group,status,n,pct_within_group,pct_of_unemployed
age_group,15–24,533,not sent,111,0.20825515947467166,0.0222177742193755
age_group,15–24,533,not participated,17,0.03189493433395872,0.0034027221777421937
age_group,15–24,533,participated,405,0.7598499061913696,0.08106485188150521
age_group,25–34,1161,not sent,240,0.20671834625322996,0.04803843074459568
age_group,25–34,1161,not participated,50,0.04306632213608958,0.010008006405124099
age_group,25–34,1161,participated,871,0.7502153316106804,0.17433947157726182
age_group,35–44,1402,not sent,282,0.20114122681883023,0.05644515612489992
age_group,35–44,1402,not participated,42,0.029957203994293864,0.008406725380304243
age_group,35–44,1402,participated,1078,0.7689015691868759,0.2157726180944756
age_group,45–54,1460,not sent,320,0.2191780821917808,0.06405124099279423
age_group,45–54,1460,not participated,40,0.0273972602739726,0.008006405124099279
age_group,45–54,1460,participated,1100,0.7534246575342466,0.2201761409127302
age_group,55+,440,not sent,114,0.2590909090909091,0.022818254603682947
age_group,55+,440,not participated,16,0.03636363636363636,0.0032025620496397116
age_group,55+,440,participated,310,0.7045454545454546,0.06204963971176942
