dimension_a,group_a,dimension_b,group_b,n_group,status,n,pct_within_group,pct_of_unemployed
age_group,15–24,Sugu,mees,322,not sent,69,0.21428571428571427,0.013811048839071256
age_group,15–24,Sugu,mees,322,not participated,10,0.031055900621118012,0.0020016012810248197
age_group,15–24,Sugu,mees,322,participated,243,0.7546583850931677,0.048638911128903124
age_group,15–24,Sugu,naine,211,not sent,42,0.1990521327014218,0.008406725380304243
age_group,15–24,Sugu,naine,211,not participated,7,0.03317535545023697,0.0014011208967173738
age_group,15–24,Sugu,naine,211,participated,162,0.7677725118483413,0.03242594075260208
age_group,25–34,Sugu,mees,611,not sent,127,0.2078559738134206,0.02542033626901521
age_group,25–34,Sugu,mees,611,not participated,32,0.05237315875613748,0.006405124099279423
age_group,25–34,Sugu,mees,611,participated,452,0.7397708674304418,0.09047237790232186
age_group,25–34,Sugu,naine,550,not sent,113,0.20545454545454545,0.022618094475580466
age_group,25–34,Sugu,naine,550,not participated,18,0.03272727272727273,0.003602882305844676
age_group,25–34,Sugu,naine,550,participated,419,0.7618181818181818,0.08386709367493995
age_group,35–44,Sugu,mees,725,not sent,141,0.19448275862068964,0.02822257806244996
age_group,35–44,Sugu,mees,725,not participated,30,0.041379310344827586,0.00600480384307446
age_group,35–44,Sugu,mees,725,participated,554,0.7641379310344828,0.11088871096877502
age_group,35–44,Sugu,naine,677,not sent,141,0.20827178729689808,0.02822257806244996
age_group,35–44,Sugu,naine,677,not participated,12,0.01772525849335303,0.0024019215372297837
age_group,35–44,Sugu,naine,677,participated,524,0.7740029542097489,0.10488390712570056
age_group,45–54,Sugu,mees,703,not sent,165,0.23470839260312945,0.033026421136909526
age_group,45–54,Sugu,mees,703,not participated,29,0.041251778093883355,0.005804643714971977
age_group,45–54,Sugu,mees,703,participated,509,0.7240398293029872,0.10188150520416334
age_group,45–54,Sugu,naine,757,not sent,155,0.2047556142668428,0.03102481985588471
age_group,45–54,Sugu,naine,757,not participated,11,0.01453104359313078,0.002201761409127302
age_group,45–54,Sugu,naine,757,participated,591,0.7807133421400264,0.11829463570856685
age_group,55+,Sugu,mees,232,not sent,49,0.21120689655172414,0.009807846277021618
age_group,55+,Sugu,mees,232,not participated,8,0.034482758620689655,0.0016012810248198558
age_group,55+,Sugu,mees,232,participated,175,0.7543103448275862,0.035028022417934346
age_group,55+,Sugu,naine,208,not sent,65,0.3125,0.01301040832666133
age_group,55+,Sugu,naine,208,not participated,8,0.038461538461538464,0.0016012810248198558
age_group,55+,Sugu,naine,208,participated,135,0.6490384615384616,0.02702161729383507
