dimension,group,n_group,status,n,pct_within_group,pct_of_unemployed
Maakond,Hiiumaa,66,not sent,25,0.3787878787878788,0.0050040032025620495
Maakond,Hiiumaa,66,not participated,1,0.015151515151515152,0.00020016012810248197
Maakond,Hiiumaa,66,participated,40,0.6060606060606061,0.008006405124099279
Maakond,Ida-Virumaa,778,not sent,195,0.2506426735218509,0.039031224979983986
Maakond,Ida-Virumaa,778,not participated,34,0.043701799485861184,0.0068054443554843875
Maakond,Ida-Virumaa,778,participated,549,0.705655526992288,0.10988791032826262
Maakond,Järvamaa,152,not sent,26,0.17105263157894737,0.005204163330664532
Maakond,Järvamaa,152,not participated,2,0.013157894736842105,0.00040032025620496394
Maakond,Järvamaa,152,participated,124,0.8157894736842105,0.024819855884707767
Maakond,Jõgevamaa,73,not sent,13,0.1780821917808219,0.002602081665332266
Maakond,Jõgevamaa,73,not participated,1,0.0136986301369863,0.00020016012810248197
Maakond,Jõgevamaa,73,participated,59,0.8082191780821918,0.011809447558046438
Maakond,Lääne-Virumaa,141,not sent,27,0.19148936170212766,0.005404323458767014
Maakond,Lääne-Virumaa,141,not participated,2,0.014184397163120567,0.00040032025620496394
Maakond,Lääne-Virumaa,141,participated,112,0.7943262411347518,0.02241793434747798
Maakond,Läänemaa,182,not sent,42,0.23076923076923078,0.008406725380304243
Maakond,Läänemaa,182,not participated,5,0.027472527472527472,0.0010008006405124099
Maakond,Läänemaa,182,participated,135,0.7417582417582418,0.02702161729383507
Maakond,Pärnumaa,417,not sent,99,0.23741007194244604,0.019815852682145717
Maakond,Pärnumaa,417,not participated,23,0.05515587529976019,0.004603682946357086
Maakond,Pärnumaa,417,participated,295,0.7074340527577938,0.05904723779023219
Maakond,Põlvamaa,135,not sent,24,0.17777777777777778,0.004803843074459567
Maakond,Põlvamaa,135,not participated,3,0.022222222222222223,0.0006004803843074459
Maakond,Põlvamaa,135,participated,108,0.8,0.021617293835068056
Maakond,Raplamaa,192,not sent,35,0.18229166666666666,0.00700560448358687
Maakond,Raplamaa,192,not participated,7,0.036458333333333336,0.0014011208967173738
Maakond,Raplamaa,192,participated,150,0.78125,0.0300240192153723
Maakond,Saaremaa,124,not sent,23,0.18548387096774194,0.004603682946357086
Maakond,Saaremaa,124,not participated,1,0.008064516129032258,0.00020016012810248197
Maakond,Saaremaa,124,participated,100,0.8064516129032258,0.020016012810248198
Maakond,Tallinn ja Harjumaa,1763,not sent,395,0.22404991491775383,0.07906325060048039
Maakond,Tallinn ja Harjumaa,1763,not participated,41,0.023255813953488372,0.008206565252201762
Maakond,Tallinn ja Harjumaa,1763,participated,1327,0.7526942711287578,0.2656124899919936
Maakond,Tartumaa,564,not sent,104,0.18439716312056736,0.020816653322658127
Maakond,Tartumaa,564,not participated,31,0.0549645390070922,0.006204963971176942
Maakond,Tartumaa,564,participated,429,0.7606382978723404,0.08586869495596477
Maakond,Valgamaa,155,not sent,16,0.1032258064516129,0.0032025620496397116
Maakond,Valgamaa,155,not participated,5,0.03225806451612903,0.0010008006405124099
Maakond,Valgamaa,155,participated,134,0.864516129032258,0.026821457165732587
Maakond,Viljandimaa,191,not sent,30,0.15706806282722513,0.00600480384307446
Maakond,Viljandimaa,191,not participated,7,0.03664921465968586,0.0014011208967173738
Maakond,Viljandimaa,191,participated,154,0.806282722513089,0.030824659727782224
Maakond,Võrumaa,63,not sent,13,0.20634920634920634,0.002602081665332266
Maakond,Võrumaa,63,not participated,2,0.031746031746031744,0.00040032025620496394
Maakond,Võrumaa,63,participated,48,0.7619047619047619,0.009607686148919135
