dimension_a,group_a,dimension_b,group_b,n_group,status,n,pct_within_group,pct_of_unemployed
Maakond,Hiiumaa,age_group,15–24,10,not sent,3,0.3,0.0006004803843074459
Maakond,Hiiumaa,age_group,15–24,10,not participated,0,0.0,0.0
Maakond,Hiiumaa,age_group,15–24,10,participated,7,0.7,0.0014011208967173738
Maakond,Hiiumaa,age_group,25–34,20,not sent,8,0.4,0.0016012810248198558
Maakond,Hiiumaa,age_group,25–34,20,not participated,0,0.0,0.0
Maakond,Hiiumaa,age_group,25–34,20,participated,12,0.6,0.0024019215372297837
Maakond,Hiiumaa,age_group,35–44,15,not sent,4,0.26666666666666666,0.0008006405124099279
Maakond,Hiiumaa,age_group,35–44,15,not participated,1,0.06666666666666667,0.00020016012810248197
Maakond,Hiiumaa,age_group,35–44,15,participated,10,0.6666666666666666,0.0020016012810248197
Maakond,Hiiumaa,age_group,45–54,14,not sent,5,0.35714285714285715,0.0010008006405124099
Maakond,Hiiumaa,age_group,45–54,14,not participated,0,0.0,0.0
Maakond,Hiiumaa,age_group,45–54,14,participated,9,0.6428571428571429,0.001801441152922338
Maakond,Hiiumaa,age_group,55+,7,not sent,5,0.7142857142857143,0.0010008006405124099
Maakond,Hiiumaa,age_group,55+,7,not participated,0,0.0,0.0
Maakond,Hiiumaa,age_group,55+,7,participated,2,0.2857142857142857,0.00040032025620496394
Maakond,Ida-Virumaa,age_group,15–24,64,not sent,17,0.265625,0.0034027221777421937
Maakond,Ida-Virumaa,age_group,15–24,64,not participated,1,0.015625,0.00020016012810248197
Maakond,Ida-Virumaa,age_group,15–24,64,participated,46,0.71875,0.009207365892714172
Maakond,Ida-Virumaa,age_group,25–34,184,not sent,38,0.20652173913043478,0.007606084867894315
Maakond,Ida-Virumaa,age_group,25–34,184,not participated,13,0.07065217391304347,0.002602081665332266
Maakond,Ida-Virumaa,age_group,25–34,184,participated,133,0.7228260869565217,0.026621297037630103
Maakond,Ida-Virumaa,age_group,35–44,210,not sent,48,0.22857142857142856,0.009607686148919135
Maakond,Ida-Virumaa,age_group,35–44,210,not participated,9,0.04285714285714286,0.001801441152922338
Maakond,Ida-Virumaa,age_group,35–44,210,participated,153,0.7285714285714285,0.030624499599679743
Maakond,Ida-Virumaa,age_group,45–54,230,not sent,71,0.30869565217391304,0.01421136909527622
Maakond,Ida-Virumaa,age_group,45–54,230,not participated,5,0.021739130434782608,0.0010008006405124099
Maakond,Ida-Virumaa,age_group,45–54,230,participated,154,0.6695652173913044,0.030824659727782224
